"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","1_SELF_2easy40","1_SELF_6easy40","1_SELF_10easy40","1_SELF_2hard90","1_SELF_6hard90","1_SELF_10hard90","1_CLIMATE_2easy40","1_CLIMATE_6easy40","1_CLIMATE_10easy40","1_CLIMATE_2hard90","1_CLIMATE_6hard90","1_CLIMATE_10hard90","1_OTHERS_2easy40","1_OTHERS_6easy40","1_OTHERS_10easy40","1_OTHERS_2hard90","1_OTHERS_6hard90","1_OTHERS_10hard90","2_SELF_2easy40","2_SELF_6easy40","2_SELF_10easy40","2_SELF_2hard90","2_SELF_6hard90","2_SELF_10hard90","2_CLIMATE_2easy40","2_CLIMATE_6easy40","2_CLIMATE_10easy40","2_CLIMATE_2hard90","2_CLIMATE_6hard90","2_CLIMATE_10hard90","2_OTHERS_2easy40","2_OTHERS_6easy40","2_OTHERS_10easy40","2_OTHERS_2hard90","2_OTHERS_6hard90","2_OTHERS_10hard90"
80,2,1,"68,71,74,76,81",1,5,2,3,1,2,2,1,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,NA,2,NA,2,1,1,2,1,NA
83,2,1,"58,59,64,69,79",2,4,4,4,3,4,5,1,3,"control",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,2,2,"89,90,92,93,103",2,2,2,3,3,2,3,2,2,"neg_social_norm",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,2,2,"95,96,110,113",2,4,4,3,4,3,4,3,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,2,2,"94",2,1,2,1,1,2,2,1,3,"control",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
89,2,2,NA,2,2,2,4,2,2,1,1,1,"pos_social_norm",2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
92,2,2,"96,101,102,110",3,4,3,4,3,3,4,2,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
93,2,2,"85,89,90,100,105",3,3,3,4,4,5,5,5,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
95,2,2,"87,97,113",4,2,4,3,4,4,4,3,2,"neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
96,2,2,"86,92,93,102,110",1,5,1,4,1,2,1,1,2,"neg_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1
100,2,2,"90,92,93,104,105",NA,NA,NA,NA,NA,NA,NA,NA,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,2,2,"96,101,110",2,3,2,4,2,2,2,1,1,"pos_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,2,2,"85,88",2,1,1,1,3,3,2,2,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,2,2,"108",2,3,5,4,1,1,5,5,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
106,2,2,"106",2,3,2,2,3,2,2,1,3,"control",1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,2,2,"87,95,97,105",3,2,3,4,3,2,3,1,3,"control",1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2
116,2,3,"135,136",4,3,3,5,3,2,2,1,1,"pos_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,2,3,"122,123,126,127,133",3,2,2,2,1,2,2,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,2,3,"124,135,136",4,3,5,5,5,4,5,1,2,"neg_social_norm",1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
