"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","X1_SELF_2easy40","X1_SELF_6easy40","X1_SELF_10easy40","X1_SELF_2hard90","X1_SELF_6hard90","X1_SELF_10hard90","X1_CLIMATE_2easy40","X1_CLIMATE_6easy40","X1_CLIMATE_10easy40","X1_CLIMATE_2hard90","X1_CLIMATE_6hard90","X1_CLIMATE_10hard90","X1_OTHERS_2easy40","X1_OTHERS_6easy40","X1_OTHERS_10easy40","X1_OTHERS_2hard90","X1_OTHERS_6hard90","X1_OTHERS_10hard90","X2_SELF_2easy40","X2_SELF_6easy40","X2_SELF_10easy40","X2_SELF_2hard90","X2_SELF_6hard90","X2_SELF_10hard90","X2_CLIMATE_2easy40","X2_CLIMATE_6easy40","X2_CLIMATE_10easy40","X2_CLIMATE_2hard90","X2_CLIMATE_6hard90","X2_CLIMATE_10hard90","X2_OTHERS_2easy40","X2_OTHERS_6easy40","X2_OTHERS_10easy40","X2_OTHERS_2hard90","X2_OTHERS_6hard90","X2_OTHERS_10hard90","SUS_social_anxiety","SUS_peers_self_esteem","SUS_total","SUS_total_c"
"106","2","2","106",2,3,2,2,3,2,2,1,"control","control",1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,2,2.125,-0.423259493670886
"113","2","2","87,95,97,105",3,2,3,4,3,2,3,1,"control","control",1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,3,2.25,2.625,0.0767405063291138
"116","2","3","135,136",4,3,3,5,3,2,2,1,"high_norm","pos_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2.75,2.875,0.326740506329114
"117","2","3","122,123,126,127,133",3,2,2,2,1,2,2,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.75,1.875,-0.673259493670886
"118","2","3","124,135,136",4,3,5,5,5,4,5,1,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75,3.25,4,1.45174050632911
"120","2","3","114",5,3,5,4,5,4,5,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,5,3.25,4.125,1.57674050632911
"121","2","3","118,131,135,136",5,5,3,5,4,2,3,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.75,3.75,3.75,1.20174050632911
"124","2","3","118",3,3,1,3,1,1,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1.5,2,1.75,-0.798259493670886
"125","2","3","127",2,1,2,2,1,1,3,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.25,1.625,-0.923259493670886
"126","2","3","115,132",2,2,2,2,1,2,2,1,"control","control",1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1.75,1.75,-0.798259493670886
